posting_date,amount,account,account_name,cost_center,profit_center,vendor,customer,document_no,text
2025-04-01,69018.58,4000,Umsatzerlöse Labordiagnostik,CC200,PC-CONSULT,,Städtisches Klinikum Stuttgart,RE100093,Diagnostik Auftrag 100093
2025-04-01,14009.14,4020,Umsatzerlöse Schulungen,CC100,PC-DIAG,,Labor Gemeinschaft Bayern,RE100096,Laboranalysen April
2025-04-01,7660.58,4020,Umsatzerlöse Schulungen,CC200,PC-TRAIN,,Städtisches Klinikum Stuttgart,RE100103,Diagnostik Auftrag 100103
2025-04-01,16462.18,4010,Umsatzerlöse Beratung,CC200,PC-CONSULT,,Städtisches Klinikum Stuttgart,RE100169,Laboranalysen April
2025-04-01,-7886.85,5000,Material Reagenzien,CC200,PC-DIAG,Roche Diagnostics,,BK100184,Chemikalien Q2
2025-04-02,6109.71,4100,Sonstige Erlöse,CC100,PC-DIAG,,Krankenhaus Nordwest,RE100070,Diagnostik Auftrag 100070
2025-04-02,21089.67,4000,Umsatzerlöse Labordiagnostik,CC200,PC-CONSULT,,Krankenhaus Nordwest,RE100077,Laboranalysen April
2025-04-02,6568.81,4020,Umsatzerlöse Schulungen,CC200,PC-TRAIN,,Labor Gemeinschaft Bayern,RE100127,Laboranalysen April
2025-04-02,-1095.57,5010,Material Verbrauchsmittel,CC500,PC-DIAG,Merck,,BK100243,Handschuhe Nachbestellung
2025-04-02,-12407.51,6200,Wartung Geräte,CC500,PC-CONSULT,Siemens Healthineers,,BK100297,Service Zentrifuge
2025-04-02,-13607.43,6500,Beratungskosten,CC400,PC-TRAIN,Deloitte,,BK100341,Prozessoptimierung
2025-04-02,-11849.23,6700,Marketing,CC400,PC-TRAIN,Google Ads,,BK100377,Broschüren
2025-04-03,3216.75,4100,Sonstige Erlöse,CC100,PC-CONSULT,,Labor Gemeinschaft Bayern,RE100001,Beratungsleistung
2025-04-03,8560.16,4020,Umsatzerlöse Schulungen,CC100,PC-TRAIN,,MVZ Labor Bremen,RE100091,Rahmenvertrag Abrechnung
2025-04-03,35029.7,4000,Umsatzerlöse Labordiagnostik,CC300,PC-DIAG,,Praxis Dr. Weber,RE100092,Schulung Laborpersonal
2025-04-03,-6022.79,5020,Fremdleistungen Labor,CC200,PC-TRAIN,Synlab,,BK100262,Fremdanalyse Spezialtest
2025-04-03,-6157.1,6200,Wartung Geräte,CC500,PC-DIAG,Roche Diagnostics,,BK100294,Wartung Analysegerät
2025-04-03,-13840.43,6300,IT-Kosten,CC500,PC-DIAG,IT-Service Partner,,BK100312,Microsoft 365
2025-04-03,-18799.08,6500,Beratungskosten,CC100,PC-DIAG,Deloitte,,BK100337,Gutachten
2025-04-04,54139.03,4000,Umsatzerlöse Labordiagnostik,CC300,PC-DIAG,,Praxis Dr. Weber,RE100021,Beratungsleistung
2025-04-04,68461.71,4000,Umsatzerlöse Labordiagnostik,CC100,PC-CONSULT,,Labor Gemeinschaft Bayern,RE100051,Diagnostik Auftrag 100051
2025-04-04,1625.32,4100,Sonstige Erlöse,CC200,PC-CONSULT,,MVZ Labor Bremen,RE100057,Laboranalysen April
2025-04-04,7019.74,4100,Sonstige Erlöse,CC100,PC-DIAG,,Krankenhaus Nordwest,RE100060,Beratungsleistung
2025-04-04,1713.35,4100,Sonstige Erlöse,CC100,PC-DIAG,,Städtisches Klinikum Stuttgart,RE100094,Laboranalysen April
2025-04-04,-21031.1,5000,Material Reagenzien,CC400,PC-ADMIN,Beckman Coulter,,BK100189,Nachbestellung Assays
2025-04-04,-4445.8,5010,Material Verbrauchsmittel,CC500,PC-ADMIN,Merck,,BK100246,Pipettenspitzen
2025-04-05,1787.63,4100,Sonstige Erlöse,CC300,PC-TRAIN,,Charité Berlin,RE100139,Diagnostik Auftrag 100139
2025-04-05,21218.58,4010,Umsatzerlöse Beratung,CC300,PC-CONSULT,,Krankenhaus Nordwest,RE100170,Schulung Laborpersonal
2025-04-05,-21509.82,5000,Material Reagenzien,CC500,PC-CONSULT,Abbott,,BK100211,Nachbestellung Assays
2025-04-05,-202939.46,6000,Personalkosten Gehälter,CC200,PC-DIAG,Lohnbüro Müller,,BK100272,Gehälter April 2025
2025-04-05,-8112.86,6200,Wartung Geräte,CC300,PC-ADMIN,Siemens Healthineers,,BK100287,Inspektion Automat
2025-04-05,-16200.71,6400,Reisekosten,CC400,PC-DIAG,Booking.com,,BK100323,Dienstreise April
2025-04-05,-1943.01,6600,Versicherungen,CC100,PC-TRAIN,Allianz,,BK100353,Betriebshaftpflicht Q2
2025-04-06,4226.78,4020,Umsatzerlöse Schulungen,CC200,PC-CONSULT,,Krankenhaus Nordwest,RE100002,Diagnostik Auftrag 100002
2025-04-06,3483.63,4100,Sonstige Erlöse,CC100,PC-TRAIN,,Praxis Dr. Weber,RE100106,Rahmenvertrag Abrechnung
2025-04-06,-19460.95,5010,Material Verbrauchsmittel,CC100,PC-DIAG,Merck,,BK100231,Verbrauchsmaterial April
